Conference,Inc,Title,Length,Keywords,Entity,Singleton
Big Data 2019,New York University,How can Artificial Intelligence use Big Data for Translating Documents?,105,"Artificial intelligence,Machine translation","Big Data,Artificial Intelligence","used,learning,presentation,corpus"
Big Data 2019,Outbrain,From Spark to Elasticsearch and Back - Learning Large Scale Models for Content Recommendation,53,"Algorithm,Recommender system","Spark,Elasticsearch","latency,challenge,elasticsearchbased"
Big Data 2019,Confluent,Everything you Wanted to Know about Apache Kafka but you Were too Afraid to Ask!,97,"Apache Hadoop,Mixer (service)",ETL,"emerged,exactly"
Big Data 2019,inovex GmbH,Are You Sure about That?! Uncertainty Quantification in AI,97,"Apache Hadoop,Mixer (service)",ETL,"emerged,exactly"
Big Data 2019,Olocip,Real Time Decision Making in Professionals Sports. From Description to Prediction and Prescription.,128,Artificial intelligence,Artificial Intelligence,"football,thanks,collected,try,answered,example"
Big Data 2019,IBM,Big Data Information Architecture for AI,126,"Application performance management,Artificial Intelligence System,Artificial intelligence,General knowledge","IBM,Watson,Jeopardy,LâOreal,Iplexia,Ask Mercedes,Rational DOORS,Maximo","watson,ibm,factory,famous,2011"
Big Data 2019,Coolblue B.V.,Data Discovery with Amundsen,156,"List of big data companies,Roald Amundsen,Tool (band)",Amundsen,"using,table,already,people"
Big Data 2019,KNIME,The Creative Side of AI: Product Name Generation,104,"Creativity and mental health,Neural network,Product naming,Write-in candidate","Recurrent Neural Networks,Kathrin,Keras,TensorFlow,KNIME Analytics Platform","lstm,propose,solution"
Big Data 2019,Codewise,Computational Propaganda - How Algorithms Influence our Decisions,125,Dominican Republic,"Active Users,Google,digital,Cambridge Analytica,Brexit","people,decision,manipulation,facebook,google"
Big Data 2019,Databricks,Deep Learning at Scale: Distributed Training and Hyperparameter Search for Image Recognition Problems,94,Computer vision,Horovod,
Big Data 2019,SAP,Digital Business: Tomorrow is Already Here,90,"Business model,Digital transformation,Non-compete clause","Digital,blockchain","company,reimagine"
Big Data 2019,LINK Institute,Turning a Wasting into a Learning Culture - Combining NLP and Neural Networks to truly Understand and Predict Customers' Behaviour,122,"Customer Survey,Customer service,Observation,Product optimization,Unit of observation",,"based,wasted,used"
Big Data 2019,Philip Morris International,Data Science at PMI - The Tools of The Trade,259,Data science,"Michal,PMI,Artifactory,Cookiecutter,GitFlow,Jupyter,Python,Docker,AWS,Jenkins","every,docker,engineering,challenge,moving,jupyter,building,pmi"
Big Data 2019,Tink,Optimize your Data Pipeline without Rewriting it,184,"Engineer,Pipeline (computing),Response",,"optimize,putting,production,easy,try,experience,efficient,outcome,holistic"
Big Data 2019,Cognizant,Making Data Scientists Productive in Azure,88,"Collaboration,Data analysis,Data science",Data Science Virtual Machines and Cognitive Services,"azure,service,machine,production,challenging"
Big Data 2019,Excella,Real-Time Data Streaming with Azure Stream Analytics,144,"Azure Stream Analytics,Real-time data,Split decision","Azure Stream Analytics,the Azure Stream Analytics","imperative,able"
Big Data 2019,Rancher Labs,Building a Scalable Data Science & Machine Learning cloud using Kubernetes,210,"Building design,Data science","Data Scientists,Data Science","kubernetes,requirement,architecture,shared,presentation,team,cloud,tagline"
Big Data 2019, Adform,Machine Learning Engineering,86,Machine learning,,tweaking
Big Data 2019,Teradata Corporation,The Future of Traditional Shopping Driven by Customer Centric Approaches,202,Artificial intelligence,"Multi-Genre-Analytics,Web Analytics","customer,range,evolve,loyal,analytics,omnichannel,coming"
Big Data 2019,Telefonica S.A.,A Game Theory Approach for Data Driven Business Decisions: Use Case in Portfolio Optimization,362,"Decision-making,Game theory,Retaliation (disambiguation)",Monte Carlo,"portfolio,possible,company,business,competitor,information,reduction,market,useful,strategy"
Big Data 2019,MGCodesandStats,Predicting Hotel Cancellations with Machine Learning,113,"Lost sales,Online hotel reservations,Project cancellation",SARIMA,"machine,technique,used,employed,industry"
Big Data 2019,TouK,Stream Processing for Analysts with Flink and Nussknacker,135,"Advanced Stream Redirector,Real-time","Apache Flink,Flink,Maciek","flink,used,maciek,analyzing,quite"
Big Data 2019,Yepic,Overview of Generative Adversarial Networks (GANs),185,,"Generative Adversarial Networks,https://arxiv.org/abs/1710.10196","adversarial,gans,generative,achieve,variety,learning,recently,application"
Big Data 2019,SHI GmbH,cGAN for Automatic Site Selection of Cultural Venues [P22404],147,Domain driven data mining,,"challenge,streaming,architecture"
Big Data 2019,VaHa,Big Data Serving: The Last Frontier. Processing and Inference at Scale in Real Time,51,"A-ha,Big data",,learning
Big Data 2019,winand.at,More Than a Query Language: SQL in the 21st Century,107,"Instant messaging,MySQL,Relational model","Great News,SQL","decade,changed,release,provoking"
Big Data 2019,Peekdata.io,Embedded Analytics through Data API or What Big Companies are Hiding from You,185,,"ETL,BI,Data,Analytics","company,analytics,development,selfservice,many,giving,apis,experience"
Big Data 2019,Electric Brain Software Corporation,Best Practices for Building AI Datasets,54,"Artificial intelligence,Deccan Chargers,Globally Harmonized System of Classification and Labelling of Chemicals,Labeled data",,datasets
Big Data 2019,TNO,Runtime Modifications of Distributed Big Data AI Models and Its Parameters,162,"Big data,Data analysis,Data processing,OpenAI","Big Data,Hadoop,Apache Spark","change,etc"
Big Data 2019,Danske Bank,The Journey Through Real Estate Price Model Development,68,"Average selling price,Jonathan Antoine,Lithuania","Vygantas,Denmark","together,predicts,denmark,different"
Big Data 2019,Elastic,Better Data Exploration and Visualisation with Elasticsearch and Kibana,138,"Data collection,Data science,Static program analysis","Elasticsearch,Kibana","prototyping,elasticsearch,effective,rarely,convenient,operator"
Big Data 2019,Dr. B'hlmeier Consulting,Breakthroughs and the Future of (Deep) Reinforcement Learning,66,"Reinforcement,Reinforcement learning,Stanford University Computer Science,Video game",Reinforcement Learning (RL,"demonstrate,attention,presentation,elaborate,foundation,implemented"
